Num_expediente,Tipo_accidente
2015S002439,Caída (dos ruedas)
2015S004866,Colisión lateral
2015S003054,Colisión fronto-lateral
2015S004174,Colisión fronto-lateral
2015S003923,Atropello
2015S003794,Caída (dos ruedas)
2015S003363,Caída interior vehículo
2015S007873,Alcance
2015S001857,Caída (dos ruedas)
2015S006810,Colisión fronto-lateral
2015S006332,Atropello
2015S007081,Alcance
2015S005428,Colisión lateral
2015S003379,Alcance
2015S004595,Atropello
2015S005466,Colisión fronto-lateral
2015S005854,Atropello
2015S009059,Caída (dos ruedas)
2015S000634,Alcance
2015S000942,Alcance
2015S008077,Colisión fronto-lateral
2015S008357,Caída (dos ruedas)
2015S007885,Caída (dos ruedas)
2015S000451,Choque contra elemento estático
2015S005926,Colisión lateral
2015S003320,Atropello
2015S006728,Alcance
2015S008441,Colisión fronto-lateral
2015S003058,Colisión lateral
2015S002894,Colisión fronto-lateral
2015S001360,Colisión fronto-lateral
2015S008766,Colisión fronto-lateral
2015S007887,Alcance
2015S007887,Colisión lateral
2015S007977,Alcance
2015S002920,Colisión lateral
2015S009495,Colisión lateral
2015S008648,Alcance
2015S000219,Alcance
2015S001455,Otros
2015S000694,Colisión lateral
2015S001118,Atropello
2015S004720,Alcance
2015S009720,Atropello
2015S003117,Colisión fronto-lateral
2015S009043,Atropello
2015S003630,Colisión fronto-lateral
2015S004584,Colisión fronto-lateral
2015S006271,Alcance
2015S006043,Colisión lateral
2015S001775,Atropello
2015S003955,Choque contra elemento estático
2015S004764,Choque contra elemento estático
2015S001984,Otros
2015S000539,Caída (dos ruedas)
2015S004818,Colisión fronto-lateral
2015S001755,Caída (dos ruedas)
2015S003992,Colisión lateral
2015S002498,Colisión lateral
2015S006402,Colisión lateral
2015S005697,Colisión lateral
2015S009414,Alcance multiple
2015S009660,Vuelco (más de dos ruedas)
2015S007124,Colisión lateral
2015S007781,Alcance
2015S003668,Alcance
2015S001446,Colisión fronto-lateral
2015S002539,Choque contra elemento estático
2015S002539,Colisión fronto-lateral
2015S000269,Colisión fronto-lateral
2015S007941,Colisión frontal
2015S008983,Colisión lateral
2015S008824,Alcance
2015S006288,Alcance
2015S007183,Colisión fronto-lateral
2015S002047,Caída (dos ruedas)
2015S006860,Colisión fronto-lateral
2015S007264,Alcance
2015S004283,Alcance multiple
2015S003739,Colisión lateral
2015S003715,Atropello
2015S002079,Atropello
2015S000617,Alcance
2015S005170,Caída (dos ruedas)
2015S007880,Colisión fronto-lateral
2015S000705,Alcance
2015S000937,Choque contra elemento estático
2015S005464,Colisión fronto-lateral
2015S005635,Colisión fronto-lateral
2015S002102,Colisión fronto-lateral
2015S001523,Atropello
2015S008468,Alcance
2015S008746,Caída interior vehículo
2015S002909,Choque contra elemento estático
2015S002016,Alcance
2015S006681,Alcance
2015S004401,Choque contra elemento estático
2015S001804,Alcance
2015S006379,Atropello
2015S009270,Choque contra elemento estático
2015S004843,Atropello
2015S009859,Choque contra elemento estático
2015S009000,Alcance
2015S003829,Choque contra elemento estático
2015S000341,Colisión lateral
2015S006490,Choque contra elemento estático
2015S001209,Alcance multiple
2015S008058,Alcance multiple
2015S005329,Colisión lateral
2015S009640,Alcance
2015S000102,Choque contra elemento estático
2015S009457,Colisión frontal
2015S007132,Colisión lateral
2015S008194,Choque contra elemento estático
2015S005116,Alcance
2015S008121,Atropello
2015S008821,Colisión lateral
2015S009950,Choque contra elemento estático
2015S005064,Alcance
2015S007066,Alcance multiple
2015S007860,Atropello
2015S000611,Atropello
2015S004482,Alcance
2015S002464,Alcance
2015S008910,Colisión fronto-lateral
2015S001024,Caída (dos ruedas)
2015S002462,Choque contra elemento estático
2015S009183,Colisión fronto-lateral
2015S008321,Caída (dos ruedas)
2015S001909,Alcance
2015S009347,Alcance
2015S009083,Caída (dos ruedas)
2015S009083,Choque contra elemento estático
2015S000548,Alcance
2015S008379,Alcance
2015S004982,Alcance multiple
2015S001994,Alcance
2015S002843,Colisión fronto-lateral
2015S006442,Caída (dos ruedas)
2015S000686,Alcance
2015S005020,Caída (dos ruedas)
2015S007517,Alcance
2015S008066,Caída (dos ruedas)
2015S003036,Colisión lateral
2015S005865,Alcance
2015S006992,Colisión fronto-lateral
2015S004138,Alcance
2015S004337,Colisión lateral
2015S008990,Alcance
2015S009786,Caída (dos ruedas)
2015S001054,Colisión frontal
2015S004898,Alcance
2015S009719,Alcance
2015S006144,Colisión lateral
2015S009086,Alcance
2015S004661,Alcance
2015S006103,Colisión fronto-lateral
2015S005176,Caída interior vehículo
2015S006824,Alcance
2015S001202,Atropello
2015S002730,Alcance
