Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S001745,Turismo,PASSAT,VOLKSWAGEN,Gris,B,3
2015S002227,Ciclomotor,CY50,YAMAHA,Gris,AM,17
2015S000684,Taxi,SCUDO,FIAT,Amarillo,BTP,12
2015S000293,Turismo,PRIUS,TOYOTA,Negro/Amarillo,BTP,9
2015S000293,Furgoneta,NV200,NISSAN,Gris,B,49
2015S008815,Motocicleta,BURGMAN,SUZUKI,Gris,A1,8
2015S000951,Turismo,POLO,VOLKSWAGEN,Gris,B,27
2015S004998,Motocicleta,NSC 110,HONDA,Blanco,A,1
2015S000103,Turismo,A4,AUDI,Blanco,B,35
2015S009860,Motocicleta,GT 250,HYOSUNG,Blanco,A2,5
2015S003863,Bicicleta,Desconocido,BICING,Rojo,Desconocido,Desconocido
2015S003458,Motocicleta,SH 300,HONDA,Rojo,A,35
2015S005772,Turismo,GOLF,VOLKSWAGEN,Negro,B,1
2015S007325,Furgoneta,TRADE,NISSAN,Blanco,B,10
2015S005095,Motocicleta,AQUILA,HYOSUNG,Plateado,B,4
2015S004563,Taxi,PRIUS,TOYOTA,Negro,BTP,9
2015S008067,Turismo,207,PEUGEOT,Negro,B,4
2015S004304,Turismo,C-MAX,FORD,Blanco,B,17
2015S009359,"Camión > 3,5 Tm",Desconocido,IVECO FIAT,Blanco,C,24
2015S009820,Autobús,CITYCLASS,IRISBUS,Otros,D,13
2015S006126,Motocicleta,150,VESPA,Negro,A,10
2015S003899,Motocicleta,SH 125,HONDA,Blanco,B,5
2015S008506,Turismo,GOLF,VOLKSWAGEN,Negro,B,5
2015S006285,Motocicleta,R 1150,BMW,Gris,Desconocido,Desconocido
2015S006285,Furgoneta,BERLINGO,CITROEN,Blanco,B,24
2015S009368,Motocicleta,X-9,PIAGGIO,Gris,A,30
2015S009574,Turismo,LAGUNA,RENAULT,Azul,Desconocido,Desconocido
2015S002078,Motocicleta,SH 300,HONDA,Plateado,Desconocido,Desconocido
2015S004336,Motocicleta,T MAX,YAMAHA,Negro,Desconocido,Desconocido
2015S004163,Furgoneta,TRAFFIC,RENAULT,Gris,B,12
2015S005421,Motocicleta,UH 125,SUZUKI,Gris,B,30
2015S000199,Turismo,ALMERA,NISSAN,Blanco,B,Desconocido
2015S002783,Motocicleta,X Max,YAMAHA,Gris,B,11
2015S008169,Turismo,LAGUNA,RENAULT,Dorado,B,37
2015S005326,Motocicleta,T MAX,YAMAHA,Gris,B,5
2015S001412,Turismo,MONDEO,FORD,Gris,B,26
2015S000908,Motocicleta,LIBERTY 125,PIAGGIO,Azul,B,1
2015S006283,Turismo,TWINGO,RENAULT,Rojo,B,26
2015S006283,Turismo,C3,CITROEN,Negro,B,17
2015S000733,Turismo,FLUENCE,RENAULT,Negro,B,25
2015S007361,Turismo,CLIO,RENAULT,Azul,B,32
2015S005792,Taxi,OCTAVIA,SKODA,Negro/Amarillo,BTP,0
2015S008488,Bicicleta,Desconocido,GME (General Motors),Desconocido,Desconocido,Desconocido
2015S008488,Turismo,CORSA,OPEL,Gris,B,37
2015S004112,Motocicleta,VESPA,PIAGGIO,Rojo,B,6
2015S005146,Motocicleta,VESPA,PIAGGIO,Verde,B,0
2015S003274,Motocicleta,UH 125,SUZUKI,Negro,A,3
2015S008976,Motocicleta,BURGMAN,SUZUKI,Blanco,B,13
2015S000401,Turismo,POLO,VOLKSWAGEN,Blanco,B,43
2015S004116,Turismo,ASTRA,OPEL,Negro,B,8
