Número d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció tipus accident,Coordenada UTM (X),Coordenada UTM (Y),Londitud,Latitud
2017S000973    ,2,Eixample,7,la Dreta de l'Eixample,18505,MALLORCA / Pau Claris                             ,0241 0243,Diumenge,Dg,Laboral,2017,2,Febrer,5,16,Tarda,Col.lisió fronto-lateral,"430084,79","4582666,93","2,162,593","41,390,643"
2017S000184    ,2,Eixample,7,la Dreta de l'Eixample,86006,AV DIAGONAL / Pg Gràcia                           ,0007 0009,Dilluns,Dl,Laboral,2017,1,Gener,9,9,Matí,Col.lisió lateral,"429891,13","4583107,12","2,160,234","41,394,599"
2017S001308    ,2,Eixample,7,la Dreta de l'Eixample,86006,PG GRÀCIA / Av Diagonal                           ,0007 0009,Dijous,Dj,Laboral,2017,2,Febrer,16,19,Tarda,Abast,"429891,13","4583107,12","2,160,234","41,394,599"
2017S003246    ,2,Eixample,7,la Dreta de l'Eixample,90502,BALMES / Còrsega                                  ,0285 0287,Dissabte,Ds,Laboral,2017,4,Abril,8,12,Matí,Col.lisió fronto-lateral,"429559,24","4583087,46","2,156,265","41,394,389"
2017S007963    ,2,Eixample,6,la Sagrada Família,197302,Marina / Diagonal                                 ,0212X0212X,Dimarts,Dm,Laboral,2017,9,Setembre,26,19,Tarda,Col.lisió lateral,"431407,47","4583880,78","2,178,278","41,401,692"
2017S008978    ,2,Eixample,6,la Sagrada Família,238400,Enamorats / Padilla                               ,0203 0203,Dilluns,Dl,Laboral,2017,10,Octubre,30,18,Tarda,Atropellament,"431583,16","4584037,24","2,180,366","41,403,121"
2017S003248    ,2,Eixample,7,la Dreta de l'Eixample,74506,Aragó / Catalunya                                 ,0060 0060,Dissabte,Ds,Laboral,2017,4,Abril,8,11,Matí,Col.lisió fronto-lateral,"430155,81","4582745,98","2,163,433","41,391,361"
2017S008514    ,2,Eixample,7,la Dreta de l'Eixample,74506,Aragó / Catalunya                                 ,0060 0060,Dilluns,Dl,Laboral,2017,10,Octubre,16,19,Tarda,Caiguda (dues rodes),"430155,81","4582745,98","2,163,433","41,391,361"
2017S010310    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal / Gràcia                                 ,0387 0387,Dimecres,Dc,Laboral,2017,12,Desembre,13,14,Tarda,Abast,"429809,09","4583287,25","2,159,232","41,396,213"
2017S007998    ,2,Eixample,6,la Sagrada Família,268003,Cartagena / Provença                              ,0528 0528,Dijous,Dj,Laboral,2017,9,Setembre,28,9,Matí,Caiguda (dues rodes),"431453,12","4584528,29","2,178,755","41,407,532"
2017S003205    ,2,Eixample,6,la Sagrada Família,268003,Provença / Cartagena                              ,0528 0528,Dijous,Dj,Laboral,2017,4,Abril,6,19,Tarda,Col.lisió frontal,"431453,12","4584528,29","2,178,755","41,407,532"
